date,returns
2013-01-04,0.010749375447630882
2013-01-11,-0.0021749669685959816
2013-01-18,0.01527500431984663
2013-01-25,-0.0008448216831311584
2013-02-01,0.0011874783085659146
2013-02-08,0.005901864729821682
2013-02-15,-0.00020871590822935104
2013-02-22,-0.004483074881136417
2013-03-01,0.0010527156991884112
2013-03-08,0.006262597627937794
2013-03-15,0.005994555540382862
2013-03-22,-0.003379727713763714
2013-03-29,0.003345804987475276
2013-04-05,-0.007952961139380932
2013-04-12,0.003374675754457712
2013-04-19,7.461468339897692e-05
2013-04-26,0.006144382990896702
2013-05-03,0.0018496226985007524
2013-05-10,0.009587774984538555
2013-05-17,0.0006248966092243791
2013-05-24,-0.005397074390202761
2013-05-31,-0.002111639827489853
2013-06-07,-0.0052454168908298016
2013-06-14,0.0006695175543427467
2013-06-21,-0.003033780725672841
2013-06-28,0.006977987941354513
2013-07-05,-0.0033333313185721636
2013-07-12,0.0065502203069627285
2013-07-19,0.0026375523302704096
2013-07-26,-0.003910698462277651
2013-08-02,0.005267386790364981
2013-08-09,0.008590332232415676
2013-08-16,-0.008870442397892475
2013-08-23,0.005662329960614443
2013-08-30,-0.002233700593933463
2013-09-06,0.004390974063426256
2013-09-13,0.005866441410034895
2013-09-20,-0.0024771864991635084
2013-09-27,-0.00010107638081535697
2013-10-04,0.008244883269071579
2013-10-11,0.0006523590418510139
2013-10-18,-0.002849049400538206
2013-10-25,0.0035435939207673073
2013-11-01,0.001548962900415063
2013-11-08,-0.007987125776708126
2013-11-15,-0.002730668056756258
2013-11-22,-0.004065831191837788
2013-11-29,0.0016976192127913237
2013-12-06,-0.0030196860898286104
2013-12-13,0.0013009330723434687
2013-12-20,0.004891763906925917
2013-12-27,0.00250395224429667
2014-01-03,-0.000173279651789926
2014-01-10,0.003568255575373769
2014-01-17,0.001007516635581851
2014-01-24,-0.001007380080409348
2014-01-31,0.0012004795717075467
2014-02-07,-0.0032905396074056625
2014-02-14,0.004512887913733721
2014-02-21,0.013896611519157887
2014-02-28,0.0038546943105757236
2014-03-07,-0.0031772919464856386
2014-03-14,-0.001150265452452004
2014-03-21,-0.00046027969801798463
2014-03-28,-0.0031959142070263624
2014-04-04,0.003437427105382085
2014-04-11,-0.009964553639292717
2014-04-18,0.0024765327107161283
2014-04-25,-0.000983755337074399
2014-05-02,0.0025586243718862534
2014-05-09,-0.005056439898908138
2014-05-16,-0.0008636598940938711
2014-05-23,0.0007886111852712929
2014-05-30,0.0004720147990155965
2014-06-06,0.003979157190769911
2014-06-13,0.0027359281666576862
2014-06-20,0.006482643075287342
2014-06-27,-0.0009284432744607329
2014-07-04,0.00060979527188465
2014-07-11,-0.005510524846613407
2014-07-18,-0.0028443001210689545
2014-07-25,0.00030059070559218526
2014-08-01,0.008958309888839722
2014-08-08,0.006818752270191908
2014-08-15,0.0009405191522091627
2014-08-22,-0.001254819449968636
2014-08-29,0.0019636626821011305
2014-09-05,-0.0016077877953648567
2014-09-12,-0.004392345901578665
2014-09-19,-0.004461938049644232
2014-09-26,-0.006236774381250143
2014-10-03,-0.003485126420855522
2014-10-10,-0.00934597197920084
2014-10-17,0.006201150361448526
2014-10-24,0.0044525242410600185
2014-10-31,-0.003376057604327798
2014-11-07,0.0030076175462454557
2014-11-14,-0.0066767409443855286
2014-11-21,0.007274205330759287
2014-11-28,-0.01751238852739334
2014-12-05,-0.005138957407325506
2014-12-12,-0.006507150828838348
2014-12-19,0.015606637112796307
2014-12-26,-0.003872085129842162
2015-01-02,0.0033805386628955603
2015-01-09,-0.008264223113656044
2015-01-16,-0.0013636065414175391
2015-01-23,-0.0015821345150470734
2015-01-30,0.009730199351906776
2015-02-06,0.011314358562231064
2015-02-13,0.0012213559821248055
2015-02-20,-0.0001887687831185758
2015-02-27,-0.006027267314493656
2015-03-06,-0.001750398427248001
2015-03-13,-0.008130185306072235
2015-03-20,0.005778817925602198
2015-03-27,0.004045287147164345
2015-04-03,0.002232643309980631
2015-04-10,0.0031247627921402454
2015-04-17,0.0013270595809444785
2015-04-24,-0.006353289354592562
2015-05-01,0.0009113012929446995
2015-05-08,-0.009235123172402382
2015-05-15,0.0036560166627168655
2015-05-22,-0.0009348402381874621
2015-05-29,0.00019457786402199417
2015-06-05,0.0007183983107097447
2015-06-12,-0.007615744601935148
2015-06-19,0.0015780421672388911
2015-06-26,-0.004449060186743736
2015-07-03,-0.001633782871067524
2015-07-10,-0.008247285149991512
2015-07-17,-0.011840905994176865
2015-07-24,-0.007699577137827873
2015-07-31,-0.004282055888324976
2015-08-07,-0.004520892631262541
2015-08-14,-0.002702379133552313
2015-08-21,0.0049018110148608685
2015-08-28,0.014076177030801773
2015-09-04,-0.0019670198671519756
2015-09-11,-0.0011043183039873838
2015-09-18,0.0016094231978058815
2015-09-25,-0.01235404796898365
2015-10-02,0.005557912867516279
2015-10-09,0.013190719299018383
2015-10-16,-0.006312844809144735
2015-10-23,-0.0034308889880776405
2015-10-30,0.007037776056677103
2015-11-06,0.0016346046468243003
2015-11-13,-0.011403458192944527
2015-11-20,0.005942865274846554
2015-11-27,0.012559650465846062
2015-12-04,-0.013196381740272045
2015-12-11,-0.00010566769924480468
2015-12-18,-0.010546970181167126
2015-12-25,0.01153923012316227
2016-01-01,-0.004924179520457983
2016-01-08,-0.011336510069668293
2016-01-15,-0.01658390648663044
2016-01-22,-0.0006181782810017467
2016-01-29,0.006437723524868488
2016-02-05,0.007417983375489712
2016-02-12,-0.018395274877548218
2016-02-19,0.011244119144976139
2016-02-26,0.017614666372537613
